Simulation 27,
Iteration,Attack_Success,Attack_Total,Flee_Success,Flee_Total,Predators_Killed,Predators_Total,Previous_Survival_Time,Survival_Time,Success,Score,
59,15,15,0,4,6,6,0,418,1,1.666667,
58,15,23,0,2,6,6,418,848,1,1.271466,
57,15,23,0,0,6,6,848,1222,1,1.613487,
56,15,65,0,4,6,6,1222,2029,1,1.247084,
55,11,17,0,2,5,6,2029,2585,0,0.3873263,
54,4,14,0,1,2,6,2585,2709,0,0.1969039,
53,15,22,0,0,6,6,2709,3365,1,1.719668,
52,15,25,0,2,6,6,3365,3709,1,1.483868,
51,15,17,0,1,6,6,3709,3948,1,1.589467,
50,10,45,0,0,4,6,3948,4160,0,0.5975427,
49,15,16,0,2,6,6,4160,4451,1,1.60361,
48,6,11,0,0,3,6,4451,4676,0,0.6490104,
47,15,31,1,5,6,6,4676,5172,1,1.507462,
46,4,16,0,0,1,6,5172,5265,0,0.463881,
45,11,36,0,1,4,6,5265,5756,0,0.2964298,
44,15,42,0,2,6,6,5756,6041,1,1.431039,
43,13,16,0,0,5,6,6041,6307,0,0.8447481,
42,15,18,0,3,6,6,6307,6551,1,1.58835,
41,15,22,0,0,6,6,6551,6678,1,1.876939,
40,6,7,0,3,3,6,6678,6799,0,0.44433,
39,15,44,0,5,6,6,6799,7342,1,1.413913,
38,15,19,0,3,6,6,7342,7555,1,1.579674,
37,15,18,0,0,6,6,7555,7734,1,1.922586,
36,9,21,0,1,3,6,7734,7907,0,0.3027516,
35,8,12,0,2,3,6,7907,7994,0,0.3846565,
34,15,34,0,1,6,6,7994,8423,1,1.455925,
