Simulation 28,
Iteration,Attack_Success,Attack_Total,Flee_Success,Flee_Total,Predators_Killed,Predators_Total,Previous_Survival_Time,Survival_Time,Success,Score,
59,0,2,0,0,0,6,0,13,0,0.6666667,
58,5,6,0,0,2,6,13,60,0,0.1564815,
57,4,9,0,0,2,6,60,169,0,0.2103879,
56,5,10,0,2,2,6,169,250,0,0.1877778,
55,15,19,0,0,6,6,250,524,1,1.443619,
54,10,16,0,1,3,6,524,609,0,0.3226601,
53,15,36,0,1,6,6,609,1103,1,1.260728,
52,10,12,0,0,4,6,1103,1293,0,0.7108791,
51,15,28,0,0,6,6,1293,1614,1,1.677133,
50,0,2,0,0,0,6,1614,1626,0,0.6617466,
49,15,29,0,5,6,6,1626,2024,1,1.406297,
48,13,23,0,2,5,6,2024,2389,0,0.3949584,
47,11,40,0,1,5,6,2389,2890,0,0.3053989,
46,5,6,0,1,2,6,2890,2965,0,0.3790519,
45,15,19,0,3,6,6,2965,3241,1,1.545695,
44,15,18,0,0,6,6,3241,3475,1,1.880847,
43,15,25,0,2,6,6,3475,3827,1,1.484278,
42,7,9,0,3,3,6,3827,3963,0,0.4113092,
41,15,19,0,2,6,6,3963,4221,1,1.560032,
40,4,10,0,0,1,6,4221,4255,0,0.5180494,
39,4,4,0,0,1,6,4255,4305,0,0.713834,
38,15,19,0,1,6,6,4305,4558,1,1.563382,
37,13,22,0,1,5,6,4558,4737,0,0.4568079,
36,12,20,0,2,5,6,4737,5376,0,0.4209884,
35,7,8,0,0,2,6,5376,5405,0,0.7321616,
34,9,9,0,0,4,6,5405,5582,0,0.8607031,
33,7,9,0,0,2,6,5582,5612,0,0.6999419,
32,15,23,0,2,6,6,5612,6093,1,1.507249,
31,6,8,0,0,3,6,6093,6241,0,0.7322144,
30,15,35,0,4,6,6,6241,6727,1,1.441787,
29,15,18,0,3,6,6,6727,7273,1,1.565234,
28,15,18,0,1,6,6,7273,7748,1,1.573646,
27,15,19,0,0,6,6,7748,8052,1,1.894719,
26,15,20,0,2,6,6,8052,8432,1,1.557045,
