Simulation 29,
Iteration,Attack_Success,Attack_Total,Flee_Success,Flee_Total,Predators_Killed,Predators_Total,Previous_Survival_Time,Survival_Time,Success,Score,
59,4,5,0,0,2,6,0,49,0,0.7111111,
58,15,30,0,1,6,6,49,476,1,1.051471,
57,13,16,0,1,5,6,476,798,0,0.3272417,
56,15,19,0,2,6,6,798,1011,1,1.470821,
55,15,54,0,2,6,6,1011,1664,1,1.258781,
54,5,6,0,0,1,6,1664,1738,0,0.6382815,
53,14,20,0,0,5,6,1738,2181,0,0.6729227,
52,2,2,0,0,1,6,2181,2201,0,0.7156596,
51,15,17,0,0,6,6,2201,2336,1,1.90526,
50,15,18,0,1,6,6,2336,2543,1,1.561367,
49,6,13,0,0,2,6,2543,2649,0,0.5743499,
48,12,44,0,0,4,6,2649,3312,0,0.5170546,
47,7,10,0,1,3,6,3312,3376,0,0.3924171,
46,15,24,0,1,6,6,3376,4287,1,1.426561,
45,15,17,0,0,6,6,4287,4626,1,1.890377,
44,12,34,0,5,5,6,4626,5128,0,0.3567151,
43,15,18,0,1,6,6,5128,5309,1,1.590276,
42,15,17,1,5,6,6,5309,5829,1,1.632196,
41,8,14,0,0,2,6,5829,5991,0,0.6177521,
40,15,18,0,2,6,6,5991,6350,1,1.576562,
39,15,30,0,4,6,6,6350,7140,1,1.444678,
38,5,7,0,0,2,6,7140,7218,0,0.6751639,
37,15,17,0,1,6,6,7218,7464,1,1.606771,
36,12,33,0,3,4,6,7464,7669,0,0.334254,
35,7,18,0,1,3,6,7669,7820,0,0.290575,
